"Country",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases

"
North America
","39,072,935","+4,567","876,200",+357,"31,184,620","+2,264","7,012,115"

"
Asia
","45,716,026","+18,614","592,281",+296,"39,819,417","+21,864","5,304,328"

"
South America
","26,416,486",,"718,992",,"23,963,543",,"1,733,951"

"
Europe
","45,892,771","+28,861","1,045,378","+1,135","41,467,758","+61,125","3,379,635"

"
Africa
","4,708,640",+2,"125,938",,"4,243,248",,"339,454"

"
Oceania
","65,407",+3,"1,222",,"61,315",,"2,870"

"

Chad,"4,895",+4,172 ,,"4,672",+4,51

Saint Lucia,"4,725",,75 ,,"4,502",+16,148

Gibraltar,"4,286",,94 ,,"4,189",,3

Burundi,"4,261",+28,6 ,,773,,"3,482"

Sierra Leone,"4,096",+7,79 ,,"3,098",+5,919

Channel Islands,"4,057",,86 ,,"3,956",,15

Barbados,"3,959",+2,46 ,,"3,908",+29,5

Timor-Leste,"3,879",+253,8 ,+3,"2,060",+166,"1,811"

Comoros,"3,860",,146 ,,"3,688",,26

Eritrea,"3,822",,12 ,,"3,639",,171

Guinea-Bissau,"3,743",+2,67 ,,"3,418",+18,258

Vietnam,"3,710",+87,35 ,,"2,657",+21,"1,018"

Liechtenstein,"2,980",+2,58 ,,"2,887",,35

New Zealand,"2,644",+1,26 ,,"2,600",+9,18

Monaco,"2,490",+3,32 ,,"2,428",+1,30

Bermuda,"2,461",+6,31 ,,"2,222",+40,208

Turks and Caicos,"2,404",,17 ,,"2,365",,22

Sao Tome and Principe,"2,320",,35 ,,"2,270",,15

Sint Maarten,"2,272",,27 ,,"2,213",,32

Liberia,"2,114",,85 ,,"1,962",,67

St. Vincent Grenadines,"1,928",+2,12 ,,"1,764",+16,152

Saint Martin,"1,773",,12 ,,"1,399",,362

Isle of Man,"1,590",,29 ,,"1,555",+3,6

Caribbean Netherlands,"1,590",+7,17 ,,"1,558",+10,15

Laos,"1,482",+65,1 ,,431,+103,"1,050"

Mauritius,"1,275",+5,17 ,,"1,130",+2,128

Bhutan,"1,263",+6,1 ,,"1,121",,141

Taiwan,"1,256",+25,12 ,,"1,102",+5,142

Antigua and Barbuda,"1,240",,32 ,,"1,179",,29

St. Barth,974,,1 ,,462,,511

Diamond Princess,712,,13 ,,699,,0

Faeroe Islands,669,,1 ,,663,,5

Cayman Islands,561,+1,2 ,,546,,13

Tanzania,509,,21 ,,183,,305

Wallis and Futuna,445,,7 ,,44,,394

Brunei ,232,+1,3 ,,220,,9

British Virgin Islands,219,,1 ,,193,,25

Dominica,178,+3, ,,176,+1,2

Fiji,165,+4,4 ,+1,109,+3,52

Grenada,161,,1 ,,160,,0

New Caledonia,124,, ,,58,,66

Anguilla,109,, ,,89,,20

Falkland Islands,63,, ,,63,,0

Macao,49,, ,,49,,0

Saint Kitts and Nevis,45,, ,,44,,1

Greenland,31,, ,,31,,0

Vatican City,27,, ,,15,,12

Saint Pierre Miquelon,25,, ,,25,,0

Montserrat,20,,1 ,,19,,0

Solomon Islands,20,, ,,20,,0

Western Sahara,10,,1 ,,8,,1

MS Zaandam,9,,2 ,,7,,0

Vanuatu,4,,1 ,,3,,0

Marshall Islands,4,, ,,4,,0

Samoa,3,, ,,2,,1

Saint Helena,2,, ,,2,,0

Micronesia,1,, ,,1,,0

Total:,"45,697,412","+432,323","591,985","+5,520","39,797,553","+474,770","5,307,874"

Total:,"39,068,368","+57,706","875,843","+1,262","31,182,356","+61,761","7,010,169"

Total:,"26,416,486","+146,018","718,992","+4,123","23,963,543","+104,259","1,733,951"

Total:,"45,863,910","+98,289","1,044,243","+2,284","41,406,633","+156,666","3,413,034"

Total:,"4,708,638","+9,440","125,938",+234,"4,243,248","+7,758","339,452"

Total:,"65,404",+258,"1,222",+4,"61,327",+105,"2,855"

Total:,721,,15,,706,,0

Total:,"161,820,939","+744,034","3,358,238","+13,427","140,655,366","+805,319","17,807,335"



"
Asia
","45,265,089","+449,547","586,465","+5,727","39,322,783","+465,532","5,355,841"

"
North America
","39,010,662","+53,122","874,581","+1,328","31,120,595","+77,750","7,015,486"

"
South America
","26,270,468","+140,207","714,869","+4,016","23,859,284","+116,052","1,696,315"

"
Europe
","45,765,621","+97,719","1,041,959","+2,499","41,249,967","+144,849","3,473,695"

"
Africa
","4,699,198","+8,877","125,704",+304,"4,235,490","+7,685","338,004"

"
Oceania
","65,146",+789,"1,218",+9,"61,222",+299,"2,706"

"

",721,,15,,706,,0

World,"161,076,905","+750,261","3,344,811","+13,883","139,850,047","+812,167","17,882,047"

China,"90,799",+16,"4,636 ",,"85,861",+16,302

USA,"33,586,272","+35,827","597,778 ",+843,"26,620,229","+62,091","6,368,265"

India,"23,702,832","+362,406","258,351 ","+4,126","19,728,436","+351,786","3,716,045"

Brazil,"15,361,686","+76,638","428,256 ","+2,545","13,924,217","+77,026","1,009,213"

France,"5,821,668","+21,498","107,119 ",+184,"4,960,281","+8,296","754,268"

Turkey,"5,072,462","+13,029","43,821 ",+232,"4,801,291","+35,167","227,350"

Russia,"4,905,059","+8,217","114,331 ",+355,"4,518,529","+8,614","272,199"

UK,"4,441,974","+2,283","127,640 ",+11,"4,256,103","+2,736","58,231"

Italy,"4,131,075","+7,849","123,544 ",+262,"3,655,112","+19,023","352,419"

Spain,"3,592,751","+6,418","79,208 ",+108,"3,291,156","+7,241","222,387"

Germany,"3,558,148","+13,833","86,009 ",+252,"3,220,300","+23,400","251,839"

Argentina,"3,215,572","+24,475","68,807 ",+496,"2,869,341","+14,977","277,424"

Colombia,"3,048,719","+16,993","79,261 ",+490,"2,859,627","+11,474","109,831"

Poland,"2,842,032","+3,948","70,679 ",+343,"2,582,519","+2,274","188,834"

Iran,"2,707,761","+16,409","75,934 ",+366,"2,162,087","+17,890","469,740"

Mexico,"2,368,393","+1,897","219,323 ",+234,"1,891,052","+2,414","258,018"

Ukraine,"2,129,073","+4,538","46,987 ",+356,"1,797,136","+19,766","284,950"

Peru,"1,865,639","+7,400","64,898 ",+207,"1,720,665",,"80,076"

Indonesia,"1,728,204","+4,608","47,617 ",+152,"1,584,878","+4,671","95,709"

Czechia,"1,648,694","+1,691","29,821 ",+30,"1,588,151",+134,"30,722"

South Africa,"1,602,031","+2,759","54,968 ",+72,"1,519,734",+476,"27,329"

Netherlands,"1,577,754","+6,356","17,399 ",+16,"1,339,957","+6,631","220,398"

Canada,"1,305,770","+6,198","24,766 ",+52,"1,204,328","+7,509","76,676"

Chile,"1,260,448","+3,902","27,384 ",+28,"1,199,432","+5,505","33,632"

Iraq,"1,127,580","+4,666","15,855 ",+21,"1,023,584","+5,417","88,141"

Philippines,"1,118,339","+4,822","18,714 ",+94,"1,046,354","+8,235","53,271"

Romania,"1,068,817",+930,"29,233 ",+98,"1,018,642","+1,595","20,942"

Sweden,"1,027,934",,"14,267 ",+36,"862,235","+3,420","151,432"

Belgium,"1,020,332","+2,456","24,609 ",+26,"897,904","+9,358","97,819"

Pakistan,"867,438","+2,881","19,210 ",+104,"771,692","+5,200","76,536"

Portugal,"840,493",+485,"16,998 ",+4,"801,621",+315,"21,874"

Israel,"839,030",+30,"6,379 ",+1,"831,826",+88,825

Hungary,"793,784",+905,"28,888 ",+96,"592,440","+8,638","172,456"

Bangladesh,"777,397","+1,140","12,045 ",+40,"718,249","+2,928","47,103"

Jordan,"722,336",+483,"9,180 ",+29,"708,854","+1,552","4,302"

Serbia,"703,497","+1,046","6,611 ",+17,"669,310","+2,366","27,576"

Switzerland,"677,210","+1,539","10,725 ",+4,"612,471","+3,061","54,014"

Japan,"651,571","+6,111","11,064 ",+123,"568,558","+4,430","71,949"

Austria,"633,960","+1,194","10,428 ",+15,"609,666","+1,954","13,866"

UAE,"540,646","+1,508","1,619 ",+2,"520,882","+1,477","18,145"

Lebanon,"534,388",+703,"7,549 ",+22,"490,305",+986,"36,534"

Morocco,"514,432",+268,"9,088 ",+5,"501,692",+288,"3,652"

Malaysia,"453,222","+4,765","1,761 ",+39,"411,360","+3,124","40,101"

Saudi Arabia,"429,389","+1,020","7,111 ",+13,"413,010",+908,"9,268"

Nepal,"422,349","+9,238","4,252 ",+168,"316,463","+4,444","101,634"

Bulgaria,"412,814",+657,"17,150 ",+46,"357,149","+3,530","38,515"

Ecuador,"404,632","+2,037","19,349 ",+63,"342,878",,"42,405"

Slovakia,"386,540",+404,"12,096 ",+19,"369,103",+656,"5,341"

Belarus,"371,405",+896,"2,661 ",+9,"362,112","+1,196","6,632"

Greece,"369,554","+2,478","11,211 ",+70,"333,892","+2,073","24,451"

Panama,"368,930",+562,"6,285 ",+3,"358,044",+330,"4,601"

Kazakhstan,"348,308","+1,811","3,964 ",+16,"304,673","+2,816","39,671"

Croatia,"347,094","+1,471","7,589 ",+40,"331,388","+1,059","8,117"

Azerbaijan,"328,159",+558,"4,726 ",+13,"309,771","+1,454","13,662"

Georgia,"325,665","+1,409","4,363 ",+27,"304,935","+1,256","16,367"

Tunisia,"324,103","+1,105","11,637 ",+81,"283,270","+1,716","29,196"

Bolivia,"322,578","+2,369","13,308 ",+50,"265,017","+2,047","44,253"

Paraguay,"304,889","+2,828","7,358 ",+74,"252,425","+1,923","45,106"

Palestine,"303,270",+493,"3,401 ",+8,"288,891",+959,"10,978"

Kuwait,"288,184",+985,"1,669 ",+9,"273,289","+1,166","13,226"

Costa Rica,"276,887","+3,173","3,482 ",+26,"217,684","+1,493","55,721"

Dominican Republic,"273,497",+688,"3,554 ",+4,"232,381",+56,"37,562"

Ethiopia,"264,367",+695,"3,938 ",+27,"214,808","+2,241","45,621"

Denmark,"262,159","+1,246","2,499 ",,"247,855",+952,"11,805"

Lithuania,"261,199","+1,301","4,064 ",+8,"235,265","+1,042","21,870"

Ireland,"254,013",+446,"4,937 ",+8,"236,401",+377,"12,675"

Moldova,"253,173",+224,"5,981 ",+11,"244,073",+196,"3,119"

Slovenia,"247,449",+726,"4,304 ",+2,"234,189",+401,"8,956"

Egypt,"240,927","+1,187","14,091 ",+58,"178,805",+564,"48,031"

Guatemala,"237,682","+1,416","7,815 ",+39,"217,219","+1,416","12,648"

Uruguay,"228,102","+2,255","3,252 ",+44,"198,922","+1,837","25,928"

Honduras,"222,118","+1,130","5,789 ",+88,"81,973",+334,"134,356"

Armenia,"219,950",+354,"4,272 ",+16,"206,078",+403,"9,600"

Qatar,"212,124",+392,519 ,+3,"204,408",+862,"7,197"

Venezuela,"210,948",+832,"2,337 ",+17,"194,166","+1,077","14,445"

Oman,"202,713",,"2,148 ",,"186,391",,"14,174"

Bosnia and Herzegovina,"201,796",+284,"8,943 ",+31,"167,704",+817,"25,149"

Bahrain,"194,289","+1,539",705 ,+8,"178,458","+1,246","15,126"

Libya,"180,945",+253,"3,082 ",+5,"167,322",+279,"10,541"

Nigeria,"165,559",+44,"2,066 ",+1,"156,374",+16,"7,119"

Kenya,"164,386",+410,"2,950 ",+22,"113,124",+67,"48,312"

North Macedonia,"154,371",+149,"5,151 ",+16,"139,266",+487,"9,954"

Myanmar,"142,997",+23,"3,211 ",+1,"132,064",+14,"7,722"

Sri Lanka,"132,527","+1,429",868 ,+18,"107,657","+1,016","24,002"

Albania,"131,845",+42,"2,423 ",+3,"120,072","+1,011","9,350"

S. Korea,"128,918",+635,"1,884 ",+5,"119,373",+656,"7,661"

Estonia,"126,064",+371,"1,210 ",+4,"117,108",+460,"7,746"

Latvia,"125,689",+729,"2,223 ",+6,"114,981","+1,551","8,485"

Algeria,"124,682",+199,"3,350 ",+7,"86,857",+154,"34,475"

Cuba,"119,375","+1,207",768 ,+13,"112,461","+1,136","6,146"

Norway,"117,995",+500,774 ,+7,"88,952",,"28,269"

Kyrgyzstan,"99,316",+283,"1,675  ",+8,"92,409",+289,"5,232"

Montenegro,"98,546",+97,"1,548 ",+3,"95,368",+148,"1,630"

Uzbekistan,"95,467",+395,666 ,+2,"90,976",+312,"3,825"

Ghana,"93,125",+114,783 ,,"90,910",+213,"1,432"

Zambia,"92,211",+59,"1,259 ",+1,"90,574",+35,378

Finland,"89,270",+280,930 ,+3,"46,000",,"42,340"

Thailand,"88,907","+1,983",486 ,+34,"59,043","+2,006","29,378"

Cameroon,"74,946",,"1,152 ",,"70,497",,"3,297"

El Salvador,"70,915",+132,"2,168 ",+4,"66,418",+497,"2,329"

Cyprus,"70,358",+260,341 ,+2,"39,061",,"30,956"

Mozambique,"70,287",+20,826 ,,"68,047",+163,"1,414"

Luxembourg,"68,748",+196,806 ,,"65,513",,"2,429"

Afghanistan,"62,942",+224,"2,721 ",+8,"54,534",+31,"5,687"

Singapore,"61,419",+16,31 ,,"61,006",+31,382

Namibia,"50,515",+214,702 ,+6,"47,698",+180,"2,115"

Botswana,"49,041",,751 ,,"46,290",,"2,000"

Jamaica,"46,922",+101,820 ,+6,"22,636",+119,"23,466"

Ivory Coast,"46,516",+32,292 ,,"45,942",+32,282

Mongolia,"46,448",+512,184 ,+5,"35,733","+1,503","10,531"

Uganda,"42,487",+60,346 ,,"41,971",,170

Senegal,"40,762",+33,"1,121 ",+1,"39,460",+32,181

Maldives,"40,092","+1,572",87 ,,"27,123",+328,"12,882"

Madagascar,"39,510",+159,738 ,+6,"36,881",+248,"1,891"

Zimbabwe,"38,466",+18,"1,579 ",,"36,277",+56,610

Sudan,"34,272",,"2,446 ",,"27,949",,"3,877"

Malawi,"34,183",,"1,153 ",,"32,170",,860

Malta,"30,469",+5,417 ,,"29,860",+17,192

DRC,"30,429",+37,775 ,,"26,541",+107,"3,113"

Australia,"29,947",+9,910 ,,"28,861",+46,176

Angola,"29,405",+259,645 ,+6,"25,187",+42,"3,573"

Cabo Verde,"27,029",+320,238 ,+2,"23,925",+233,"2,866"

Rwanda,"25,846",+73,340 ,,"24,411",+78,"1,095"

Gabon,"23,734",+169,143 ,,"20,270",+219,"3,321"

Syria,"23,543",+53,"1,676 ",+6,"19,610",+294,"2,257"

Guinea,"22,719",,151 ,,"20,341",,"2,227"

R�union,"22,644",,169 ,,"21,603",,872

French Guiana,"21,106",+229,108 ,+2,"9,995",,"11,003"

Cambodia,"20,695",+472,136 ,+5,"8,539",+369,"12,020"

Mayotte,"20,176",+42,171 ,+1,"2,964",,"17,041"

French Polynesia,"18,797",,141 ,,"18,617",,39

Mauritania,"18,745",+21,457 ,,"17,973",+27,315

Eswatini,"18,492",+5,671 ,,"17,784",,37

Guadeloupe,"16,017",,221 ,,"2,242",,"13,554"

Guyana,"14,659",+128,331 ,,"12,551",+108,"1,777"

Somalia,"14,486",,753 ,,"6,325",,"7,408"

Trinidad and Tobago,"14,417",+615,235 ,+11,"9,594",+94,"4,588"

Mali,"14,149",+16,507 ,+1,"9,113",+40,"4,529"

Andorra,"13,470",+23,127 ,,"13,104",+34,239

Burkina Faso,"13,387",+3,164 ,,"13,184",+4,39

Tajikistan,"13,308",,90 ,,"13,218",,0

Haiti,"13,268",+41,269 ,+3,"12,397",+93,602

Togo,"13,210",+43,125 ,,"11,807",+113,"1,278"

Papua New Guinea,"12,997",+771,130 ,+9,"10,915",+248,"1,952"

Belize,"12,707",+3,323 ,,"12,320",+13,64

Cura�ao,"12,236",,117 ,,"12,006",+14,113

Hong Kong,"11,815",+2,210 ,,"11,505",+2,100

Martinique,"11,736",,90 ,,98,,"11,548"

Suriname,"11,427",+121,220 ,,"9,985",+78,"1,222"

Djibouti,"11,389",+20,151 ,,"11,221",+39,17

Congo,"11,343",,148 ,,"8,208",,"2,987"

Bahamas,"10,966",+58,215 ,+1,"9,932",+78,819

Aruba,"10,814",+19,104 ,,"10,613",+17,97

Lesotho,"10,774",+1,319 ,,"6,427",,"4,028"

South Sudan,"10,641",,115 ,,"10,462",,64

Seychelles,"8,172",,28 ,,"5,658",,"2,486"

Benin,"7,995",,101 ,,"7,652",,242

Equatorial Guinea,"7,694",,112 ,,"7,279",,303

Nicaragua,"7,086",,184 ,,"4,225",,"2,677"

CAR,"6,866",+192,95 ,+2,"5,112",,"1,659"

Iceland,"6,526",+4,29 ,,"6,422",+13,75

Yemen,"6,498",+6,"1,277 ",+1,"3,003",,"2,218"

Gambia,"5,934",,175 ,,"5,648",,111

Niger,"5,325",+1,192 ,,"4,929",,204

San Marino,"5,083",,90 ,,"4,968",,25

Chad,"4,891",+3,172 ,,"4,668",+7,51

Saint Lucia,"4,725",+25,75 ,,"4,486",+13,164

Gibraltar,"4,286",,94 ,,"4,189",,3

Burundi,"4,233",+25,6 ,,773,,"3,454"

Sierra Leone,"4,089",,79 ,,"3,093",,917

Channel Islands,"4,057",,86 ,,"3,956",,15

Barbados,"3,957",+7,46 ,+1,"3,879",+9,32

Comoros,"3,860",,146 ,,"3,688",,26

Eritrea,"3,822",+4,12 ,,"3,639",+12,171

Guinea-Bissau,"3,741",,67 ,,"3,400",,274

Timor-Leste,"3,626",+133,5 ,,"1,894",+125,"1,727"

Vietnam,"3,623",+86,35 ,,"2,636",+18,952

Liechtenstein,"2,978",+3,58 ,,"2,887",,33

New Zealand,"2,643",,26 ,,"2,591",,26

Monaco,"2,487",+1,32 ,,"2,427",+4,28

Bermuda,"2,455",,31 ,,"2,182",,242

Turks and Caicos,"2,404",,17 ,,"2,365",,22

Sao Tome and Principe,"2,320",,35 ,,"2,270",+1,15

Sint Maarten,"2,272",+4,27 ,,"2,213",+5,32

Liberia,"2,114",,85 ,,"1,962",,67

St. Vincent Grenadines,"1,926",+4,12 ,,"1,748",+7,166

Saint Martin,"1,773",,12 ,,"1,399",,362

Isle of Man,"1,590",,29 ,,"1,552",+2,9

Caribbean Netherlands,"1,583",,17 ,,"1,548",,18

Laos,"1,417",+55,1 ,,328,+31,"1,088"

Mauritius,"1,270",+14,17 ,,"1,128",+3,125

Bhutan,"1,257",+10,1 ,,"1,121",+20,135

Antigua and Barbuda,"1,240",+2,32  ,,"1,179",+1,29

Taiwan,"1,231",+21,12 ,,"1,097",+4,122

St. Barth,974,,1 ,,462,,511

Diamond Princess,712,,13 ,,699,,0

Faeroe Islands,669,,1 ,,663,+1,5

Cayman Islands,560,+12,2 ,,546,+9,12

Tanzania,509,,21 ,,183,,305

Wallis and Futuna,445,,7 ,,44,,394

Brunei ,231,+1,3 ,,220,+2,8

British Virgin Islands,219,,1 ,,193,,25

Dominica,175,, ,,175,,0

Fiji,161,+9,3 ,,106,+5,52

Grenada,161,+1,1 ,,160,+2,0

New Caledonia,124,, ,,58,,66

Anguilla,109,, ,,89,,20

Falkland Islands,63,, ,,63,,0

Macao,49,, ,,49,,0

Saint Kitts and Nevis,45,, ,,44,,1

Greenland,31,, ,,31,,0

Vatican City,27,, ,,15,,12

Saint Pierre Miquelon,25,, ,,25,,0

Montserrat,20,,1 ,,19,,0

Solomon Islands,20,, ,,20,,0

Western Sahara,10,,1 ,,8,,1

MS Zaandam,9,,2 ,,7,,0

Vanuatu,4,,1 ,,3,,0

Marshall Islands,4,, ,,4,,0

Samoa,3,, ,,2,,1

Saint Helena,2,, ,,2,,0

Micronesia,1,, ,,1,,0

Total:,"45,265,089","+449,547","586,465","+5,727","39,322,783","+465,532","5,355,841"

Total:,"39,010,662","+53,122","874,581","+1,328","31,120,595","+77,750","7,015,486"

Total:,"26,270,468","+140,207","714,869","+4,016","23,859,284","+116,052","1,696,315"

Total:,"45,765,621","+97,719","1,041,959","+2,499","41,249,967","+144,849","3,473,695"

Total:,"4,699,198","+8,877","125,704",+304,"4,235,490","+7,685","338,004"

Total:,"65,146",+789,"1,218",+9,"61,222",+299,"2,706"

Total:,721,,15,,706,,0

Total:,"161,076,905","+750,261","3,344,811","+13,883","139,850,047","+812,167","17,882,047"

